ICDId;ICDCode;ICDName;ICDNameTranslated
7522;Q38.0;Dudağın konjenital malformasyonları, başka yerde sınıflanmamış;Congenital malformations of lips, not elsewhere classified
7523;Q38.1;Ankiloglossi;the Ankilogloss
7524;Q38.2;Makroglossi;macroglossia
7525;Q38.3;Dilin diğer konjenital malformasyonları;Other congenital malformations of tongue
7526;Q38.4;Tükrük bezleri ve kanallarının konjenital malformasyonları;Congenital malformations of salivary glands and ducts
7527;Q38.5;Damağın konjenital malformasyonları, başka yerde sınıflanmamış;Congenital malformations of palate, not elsewhere classified
7528;Q38.6;Ağzın diğer konjenital malformasyonları ;Other congenital malformations of mouth 
7529;Q38.7;Faringeal poş;pharyngeal pouch
7530;Q38.8;Farinksin diğer konjenital malformasyonları;Other congenital malformations of pharynx
7531;Q39;Özofagusun konjenital malformasyonları;Congenital malformations of esophagus
7532;Q39.0;Özofagus atrezisi, fistülsüz;Esophageal atresia, fistula
7533;Q39.1;Özofagus atrezisi, trakeo-Özofajial fistül ile;Esophageal atresia, tracheo-esophageal fistulas by
7534;Q39.2;Konjenital trakeo-Özofajial fistül, atrezisiz;Congenital tracheo-esophageal fistula, atrezisiz
7535;Q39.3;Özofagusun konjenital stenoz ve striktürü;Congenital stenosis and stricture of esophagus
7536;Q39.4;Özofajial web;esophageal web
7537;Q39.5;Özofagusun konjenital dilatasyonu;Congenital dilation of the esophagus
7538;Q39.6;Özofagus divertikülü;Esophageal diverticulum
7539;Q39.8;Özofagusun diğer konjenital malformasyonları;Other congenital malformations of esophagus
7540;Q39.9;Özofagusun konjenital malformasyonu, tanımlanmamış;Congenital malformation of esophagus, unspecified
7541;Q40;Üst gastrointestinal yolun diğer konjenital malformasyonları;Other congenital malformations of the upper gastrointestinal tract
7542;Q40.0;Konjenital hipertrofik pilor stenozu;Congenital pyloric stenosis
7543;Q40.1;Konjenital hiatal herni;Congenital hiatal hernia
7544;Q40.2;Midenin diğer tanımlanmış konjenital malformasyonları;Other specified congenital malformations of stomach
7545;Q40.3;Midenin konjenital malformasyonu, tanımlanmamış;Congenital malformation of stomach, unspecified
7546;Q40.8;Üst sindirim yolunun diğer tanımlanmış konjenital malformasyonları;Other specified congenital malformations of the upper digestive tract
7547;Q40.9;Üst sindirim yolunun konjenital malformasyonu, tanımlanmamış;Congenital malformation of the upper digestive tract, unspecified
7548;Q41;İnce barsağın konjenital yokluğu, atrezi ve stenozu;Small intestine Congenital absence, atresia and stenosis
7549;Q41.0;Duodenumun konjenital yokluğu, atrezisi ve stenozu;Duodenum Congenital absence, atresia and stenosis
7550;Q41.1;Jejunumun konjenital yokluğu, atrezisi ve stenozu;Jejunum Congenital absence, atresia and stenosis
7551;Q41.2;İleumun konjenital yokluğu, atrezisi ve stenozu;Ileum Congenital absence, atresia and stenosis
7552;Q41.8;İnce barsağın diğer tanımlanmış kısımlarının konjenital yokluğu, atrezisi ve stenozu;congenital absence of other defined portions of the small intestine, atresia and stenosis
7553;Q41.9;İnce barsağın konjenital yokluğu, atrezisi ve stenozu, tanımlanmamış kısmının;Small intestine Congenital absence, atresia and stenosis of unspecified part
7554;Q42;Kalın barsak konjenital yokluğu, atrezisi ve stenozu;Large intestine Congenital absence, atresia and stenosis
7555;Q42.0;Rektumun konjenital yokluğu, atrezisi ve stenozu, fistüllü;Congenital absence of the rectum, atresia and stenosis, fistulas
7556;Q42.1;Rektumun konjenital yokluğu, atrezisi ve stenozu, fistülsüz;Congenital absence of the rectum, atresia and stenosis, fistula
7557;Q42.2;Anüsün konjenital yokluğu, atrezisi ve stenozu, fistüllü;Anus Congenital absence, atresia and stenosis, fistulas
7558;Q42.3;Anüsün konjenital yokluğu, atrezisi ve stenozu, fistülsüz;Anus Congenital absence, atresia and stenosis, fistula
7559;Q42.8;Kalın barsağın diğer kısımlarının konjenital yokluğu, atrezisi ve stenozu;Congenital absence of the large intestine to other parts, atresia and stenosis
7560;Q42.9;Kalın barsağın konjenital yokluğu, atrezisi ve stenozu, tanımlanmamış kısmının;Large intestine Congenital absence, atresia and stenosis of unspecified part
7561;Q43;Barsağın diğer konjenital malformasyonları;Other congenital malformations of intestine
7562;Q43.0;Meckel divertikülü;Meckel's diverticulum
7563;Q43.1;Hirschsprung hastalığı;Hirschsprung's disease
7564;Q43.2;Kolonun diğer konjenital fonksiyonel bozuklukları;Other congenital functional disorders of colon
7565;Q43.3;Barsak fiksasyonun konjenital malformasyonları;Congenital malformations of intestinal fixation
7566;Q43.4;Barsak duplikasyonu;Intestinal duplication
7567;Q43.5;Ektopik anüs;Ectopic anus
7568;Q43.6;Rektum ve anüsün konjenital fistülü;Congenital fistula of rectum and anus
7569;Q43.7;Persistan kloaka;Persistent cloaca
7570;Q43.8;Barsağın diğer tanımlanmış konjenital malformasyonları;Other specified congenital malformations of intestine
7571;Q43.9;Barsağın konjenital malformasyonu, tanımlanmamış;Congenital malformation of intestine, unspecified
7572;Q44;Safra kesesi, safra kanalları ve karaciğerin konjenital malformasyonları;Gallbladder, bile ducts and liver, congenital malformations
7573;Q44.0;Safra kesesi agenezi, aplazisi ve hipoplazisi;Gallbladder agenesis, aplasia and hypoplasia
7574;Q44.1;Safra kesesi diğer konjenital malformasyonları;Other congenital malformations of gallbladder
7575;Q44.2;Safra yolu atrezisi;Biliary atresia
7576;Q44.3;Safra yolları konjenital stenozu ve striktürü;Congenital stenosis and stricture of bile ducts
7577;Q44.4;Koledok kisti;Common bile duct cyst
7578;Q44.5;Safra yollarının diğer konjenital malformasyonları;Other congenital malformations of the bile duct
7579;Q44.6;Karaciğer kistik hastalığı;We cystic liver disease
7580;Q44.7;Karaciğerin diğer konjenital malformasyonları;Other congenital malformations of liver
7581;Q45;Sindirim sisteminin diğer konjenital malformasyonları;Other congenital malformations of the digestive system
7582;Q45.0;Pankreas agenezi, aplazisi ve hipoplazisi;Pancreatic agenesis, aplasia and hypoplasia
7583;Q45.1;Anüler pankreas;Annular pancreas
7584;Q45.2;Konjenital pankreatik kist;Congenital pancreatic cysts
7585;Q45.3;Pankreas ve pankreatik duktusun diğer konjenital malformasyonları;Other congenital malformations of pancreas and pancreatic ductus
7586;Q45.8;Sindirim sisteminin diğer konjenital malformasyonları;Other congenital malformations of the digestive system
7587;Q45.9;Sindirim sistemi konjenital malformasyonu, tanımlanmamış;Congenital malformation of digestive system, unspecified
7588;Q50;Over, fallop tüp ve geniş ligamentlerin konjenital malformasyonları;Ovarian, fallopian tube, and congenital malformations of the broad ligament
7589;Q50.0;Over konjenital yokluğu;Over Congenital absence
7590;Q50.1;Gelişimsel over kisti;Developmental ovarian cyst
7591;Q50.2;Overin konjenital torsiyonu;Congenital torsion of ovary
7592;Q50.3;Overlerin diğer konjenital malformasyonları;Other congenital malformations of ovaries
7593;Q50.4;Fallop tüpü embriyonik kisti;Embryonic fallopian tube cysts
7594;Q50.5;Geniş (broad) ligament embriyonik kisti;Wide (broad) embryonic ligament cyst
7595;Q50.6;Fallop tüpü ve geniş ligamentin diğer konjenital malformasyonları;Fallopian tube and broad ligament Other congenital malformations
7596;Q51;Uterus ve serviksin konjenital malformasyonları;Congenital malformations of the uterus and cervix
7597;Q51.0;Uterusun agenezi ve aplazisi;"agenesis and aplasia of the uterus;"
7598;Q51.1;Çift uterus, çift serviks ve vajina ile;Double uterus with double cervix and vagina
7599;Q51.2;Çift uterus, diğer;Double uterus, other
7600;Q51.3;Bikornat uterus;Bikornat uterus
7601;Q51.4;Unikornat uterus;Unikornat uterus
7602;Q51.5;Serviks agenezi ve aplazisi;Cervical agenesis and aplasia
7603;Q51.6;Serviksin embriyonik kisti;Cervix embryonic cyst
7604;Q51.7;Uterus ve sindirim yolları ve üriner yollar arasında konjenital fistüller;Congenital fistulae between uterus and digestive and urinary tracts
7605;Q51.8;Uterus ve serviks boynunun diğer konjenital malformasyonları;Other congenital malformations of the uterus and cervix
7606;Q51.9;Uterus ve serviks konjenital malformasyonu, tanımlanmamış;Congenital malformation of the uterus and cervix, unspecified
7607;Q52;Kadın genital organlarının diğer konjenital malformasyonları;Other congenital malformations of female genitalia
7608;Q52.0;Vajinanın konjenital yokluğu;Congenital absence of the vagina
7609;Q52.1;Çift vajina;double vagina
7610;Q52.2;Konjenital rektovajinal fistül;Congenital rectovaginal fistula
7611;Q52.3;İmperfore himen;Imperforate hymen
7612;Q52.4;Vajinanın diğer konjenital malformasyonları;Other congenital malformations of vagina
7613;Q52.5;Labial füzyon;labial fusion
7614;Q52.6;Klitorisin konjenital malformasyonu;Congenital malformation of clitoris
7615;Q52.7;Vulvanın diğer konjenital malformasyonları;Other congenital malformations of vulva
7616;Q52.8;Kadın genital organının diğer tanımlanmış konjenital malformasyonları;Other specified congenital malformations of female genitalia
7617;Q52.9;Kadın genital organının konjenital malformasyonu, tanımlanmamış;Congenital malformation of female genitalia, unspecified
7618;Q53;İnmemiş testis;Undescended testicles
7619;Q53.0;Ektopik testis;Ectopic testes
7620;Q53.1;İnmemiş testis, unilateral;Undescended testis, unilateral
7621;Q53.2;İnmemiş testi, bilateral;Undescended test, bilateral
7622;Q53.9;İnmemiş testis, tanımlanmamış;Undescended testis, unspecified
7623;Q54;Hipospadias;hypospadias
7624;Q54.0;Hipospadias, balanik;Hypospadias, balanik
7625;Q54.1;Hipospadias, penil;Hypospadias, penile
7626;Q54.2;Hipospadias, penoskrotal;Hypospadias, penoscrotal
7627;Q54.3;Hipospadias, perineal;Hypospadias, perineal
7628;Q54.4;Konjenital kordi;Congenital chordee
7629;Q54.8;Hipospadiaslar, diğer;Other hypospadias
7630;Q54.9;Hipospadias, tanımlanmamış;Hypospadias, unspecified
7631;Q55;Erkek genital organlarının diğer konjenital malformasyonları;Other congenital malformations of male genital organs
7632;Q55.0;Testis yokluğu ve aplazisi;Absence and aplasia of testis
7633;Q55.1;Testis ve skrotum hipoplazisi;Hypoplasia of the testes and scrotum
7634;Q55.2;Testisin ve skrotumun diğer konjenital malformasyonları;Other congenital malformations of testis and scrotum
7635;Q55.3;Vas deferens atrezisi;Atresia of the vas deferens
7636;Q55.4;Vas deferens, epididim, seminal veziküller ve prostatın diğer konjenital malformasyonları ;Vas deferens, epididymis, seminal vesicles and other congenital malformations of the prostate 
7637;Q55.5;Penisin konjenital yokluğu ve aplazisi;Congenital absence and aplasia of penis
7638;Q55.6;Penisin diğer konjenital malformasyonları;Other congenital malformations of penis
7639;Q55.8;Erkek genital organlarının diğer tanımlanmış konjenital malformasyonları;Other specified congenital malformations of male genital organs
7640;Q55.9;Erkek genital organ konjenital malformasyonu, tanımlanmamış;Congenital malformation of male genital organ, unspecified
7641;Q56;Belirsiz seks ve psödohermafroditizm;Indeterminate sex and pseudohermaphroditism
7642;Q56.0;Hermafroditizm, başka yerde sınıflanmamış;Hermaphroditism, not elsewhere classified
7643;Q56.1;Erkek psödohermafroditizmi, başka yerde sınıflanmamış;Male pseudohermaphroditism, not elsewhere classified
7644;Q56.2;Kadın psödohermafroditizmi, başka yerde sınıflanmamış;Female pseudohermaphroditism, not elsewhere classified
7645;Q56.3;Psödohermafroditizm, tanımlanmamış;Pseudohermaphroditism, unspecified
7646;Q56.4;Ayrılmamış seks, tanımlanmamış;Unallocated sex, unspecified
7647;Q60;Renal agenezi ve böbreklerin diğer küçülme defektleri;reduction defects of kidney and other renal agenesis
7648;Q60.0;Renal agenezi, unilateral;Renal agenesis, unilateral
7649;Q60.1;Renal agenezi, bilateral;Renal agenesis, bilateral
7650;Q60.2;Renal agenezi, tanımlanmamış;Renal agenesis, unspecified
7651;Q60.3;Renal hipoplazi, unilateral;Renal hypoplasia, unilateral
7652;Q60.4;Renal hipoplazi, bilateral;Renal hypoplasia, bilateral
7653;Q60.5;Renal hipoplazi, tanımlanmamış;Renal hypoplasia, unspecified
7654;Q60.6;Potter sendromu;Potter syndrome
7655;Q61;Kistik böbrek hastalığı;Cystic kidney disease
7656;Q61.0;Konjenital tek renal kist;Congenital single renal cyst
7657;Q61.1;Polikistik böbrek, infantil tip;Polycystic kidneys, infantile type
7658;Q61.2;Polikistik böbrek, yetişkin tip;Polycystic kidney, adult type
7659;Q61.3;Polikistik böbrek, tanımlanmamış;Polycystic kidney, unspecified
7660;Q61.4;Renal displazi;Renal dysplasia
7661;Q61.5;Medüller kistik böbrek;Medullary cystic kidney
7662;Q61.8;Kistik böbrek hastalıkları, diğer;Cystic kidney disease, other
7663;Q61.9;Kistik böbrek hastalığı, tanımlanmamış;Cystic kidney disease, unspecified
7664;Q62;Renal pelvisin konjenital obstrüktif defektleri ve üreterin ;Congenital obstructive defects of renal pelvis and ureter 
7665;Q62.0;Konjenital hidronefroz;congenital hydronephrosis
7666;Q62.1;Üreter atrezi ve stenozu;Produces atresia and stenosis
7667;Q62.2;Konjenital megaloüreter;Congenital is megaloüret
7668;Q62.3;Renal pelvis ve üreterin diğer obstrüktif defektleri;Other obstructive defects of renal pelvis and ureter
7669;Q62.4;Üreter agenezi;Produces agenesis
7670;Q62.5;Üreter duplikasyonu;Ureteral duplication
7671;Q62.6;Üreter malpozisyonu;Produces malposition
7672;Q62.7;Konjenital veziko-üretero renal reflü;Congenital vesico-renal reflux uretero
7673;Q62.8;Üreterin diğer konjenital malformasyonları;Other congenital malformations of ureter
7674;Q63;Böbreğin diğer konjenital malformasyonları;Other congenital malformations of kidney
7675;Q63.0;Aksesuar böbrek;accessory kidney
7676;Q63.1;Atnalı böbrek, lobüle veya kaynamış böbrek;Horseshoe kidney, lobular or boiled kidney
7677;Q63.2;Ektopik böbrek;Ectopic kidney
7678;Q63.3;Hiperplastik ve dev böbrek;Hyperplastic and giant kidney
7679;Q63.8;Böbreğin diğer tanımlanmış konjenital malformasyonları;Other specified congenital malformations of kidney
7680;Q63.9;Böbreğin konjenital malformasyonu, tanımlanmamış;Congenital malformation of kidney, unspecified
7681;Q64;Üriner sistemin diğer konjenital malformasyonları;Other congenital malformations of urinary system
7682;Q64.0;Epispadias;epispadias
7683;Q64.1;Mesane ekstrofisi;Bladder exstrophy
7684;Q64.2;Konjenital posterior üretral valv;Congenital posterior urethral valve
7685;Q64.3;Üretra ve mesane boynunun diğer atrezi ve stenozu;Other atresia and stenosis of urethra and bladder neck
7686;Q64.4;Urakus malformasyonu;Malformation of urachus
7687;Q64.5;Mesane ve üretranın konjenital yokluğu;congenital absence of bladder and urethra
7688;Q64.6;Mesanenin konjenital divertikülü;congenital bladder diverticulum
7689;Q64.7;Mesane ve üretranın diğer konjenital malformasyonları;Other congenital malformations of bladder and urethra
7690;Q64.8;Üriner sistemin diğer tanımlanmış konjenital malformasyonları;Other specified congenital malformations of the urinary tract
7691;Q64.9;Üriner sistemin konjenital malformasyonu, tanımlanmamış;Congenital malformation of the urinary tract, unspecified
7692;Q65;Kalçanın konjenital deformiteleri;Congenital deformities of hip
7693;Q65.0;Kalçanın konjenital dislokasyonu, unilateral;Congenital dislocation of hip, unilateral
7694;Q65.1;Kalçanın konjenital dislokasyonu, bilateral;Congenital dislocation of hip, bilateral
7695;Q65.2;Kalçanın konjenital dislokasyonu, tanımlanmamış;Congenital dislocation of hip, unspecified
7696;Q65.3;Kalçanın konjenital sublüksasyonu, unilateral;Congenital subluxation of hip, unilateral
7697;Q65.4;Kalçanın konjenital sublüksasyonu, bilateral;Congenital subluxation of hip, bilateral
7698;Q65.5;Kalçanın konjenital sublüksasyonu, tanımlanmamış;Congenital subluxation of hip, unspecified
7699;Q65.6;Stabil olmayan kalça;Unstable hip
7700;Q65.8;Kalçanın diğer konjenital deformiteleri;Other congenital deformities of hip
7701;Q65.9;Kalçanın konjenital deformitesi, tanımlanmamış;Congenital deformities of the hip, unspecified
7702;Q66;Ayakların konjenital deformiteleri;Congenital deformities of the feet
7703;Q66.0;Talipes equinovarus;talipes equinovarus
7704;Q66.1;Talipes kalkaneovarus;talipes kalkaneovarus
7705;Q66.2;Metatarsus varus;metatarsus varus
7706;Q66.3;Ayakların diğer konjenital varus deformiteleri;Other congenital varus deformities of the feet
7707;Q66.4;Talipes kalkaneovalgus;talipes calcaneovalgus
7708;Q66.5;Konjenital düz tabanlık;Congenital flat insoles
7709;Q66.6;Ayakların diğer konjenital valgus deformiteleri;Other congenital valgus deformities of the feet
7710;Q66.7;Pes cavus;pes cavus
7711;Q66.8;Ayakların diğer konjenital deformiteleri;Other congenital deformities of the feet
7712;Q66.9;Ayakların konjenital deformitesi, tanımlanmamış;Congenital deformities of the feet, unspecified
7713;Q67;Baş, yüz, vertebra ve göğsün konjenital kas iskelet deformiteleri;Head, face, spine and chest congenital musculoskeletal deformities
7714;Q67.0;Fasial asimetri;facial asymmetry
7715;Q67.1;Kompresyon yüzleri;Compression faces
7716;Q67.2;Dolikosefali;dolichocephaly
7717;Q67.3;Plagiosefali;plagiocephaly
7718;Q67.4;Kafatası, yüz ve çenenin diğer konjenital deformiteleri;Skull, other congenital deformities of the face and jaw
7719;Q67.5;Vertebranın konjenital deformitesi;Congenital deformity of the vertebra
7720;Q67.6;Pektus ekskavatum;Pectus excavatum
7721;Q67.7;Pektus karinatum;Pectus carinatum
7722;Q67.8;Göğsün diğer konjenital deformiteleri;Other congenital deformities of chest
7723;Q68;Konjenital kas iskelet sistemi deformiteleri, diğer;Congenital musculoskeletal deformities, other
7724;Q68.0;Sternokleidomastoid kasın konjenital deformitesi;Congenital deformity of sternocleidomastoid muscle
7725;Q68.1;El konjenital deformitesi;El congenital deformity
7726;Q68.2;Diz konjenital deformitesi;Congenital deformity of the knee
7727;Q68.3;Femurun konjenital yay şekli;Congenital arc shape of the femur
7728;Q68.4;Tibia ve fibula konjenital yay şekli;Congenital arc shape of the tibia and fibula
7729;Q68.5;Bacak uzun kemiklerinin konjenital yay şekli, tanımlanmamış;congenital arc shape long bones of the leg, unspecified
7730;Q68.8;Konjenital kas iskelet deformiteleri diğer, tanımlanmış;Congenital musculoskeletal deformities Other specified
7731;Q69;Polidaktili;polydactyly
7732;Q69.0;Aksesuar parmak(lar);Accessory finger (s)
7733;Q69.1;Aksesuar başparmak(lar);Accessory thumb (s)
7734;Q69.2;Aksesuar ayak başparmak(lar);Accessory toe (s)
7735;Q69.9;Polidaktili, tanımlanmamış;Polydactyly, unspecified
7736;Q70;Sindaktili;syndactyly
7737;Q70.0;Yapışık parmaklar;Conjoined fingers
7738;Q70.1;Perdeli parmaklar;Webbed fingers
7739;Q70.2;Yapışık ayak başparmağı;Conjoined toe
7740;Q70.3;Perdeli ayak başparmağı;Webbed toe
7741;Q70.4;Polisindaktili;polysyndactyly
7742;Q70.9;Sindaktili, tanımlanmamış;Syndactyly, unspecified
7743;Q71;Üst ekstremitenin redüksiyon defektleri;Upper limb reduction defects
7744;Q71.0;Üst ekstremite(ler)in konjenital komple yokluğu;Upper limb (s) Congenital complete absence of
7745;Q71.1;Kol ve ön kolun konjenital yokluğu, el mevcut;Congenital absence of the arm and forearm, hand available
7746;Q71.2;Her iki ön kol ve elin konjenital yokluğu;Congenital absence of both forearm and hand
7747;Q71.3;El ve parmak(lar)ın konjenital yokluğu;Hand and finger (s) Congenital absence
7748;Q71.4;Radiusun longitudinal redüksiyon defekti;Longitudinal reduction defect radius
7749;Q71.5;Ulnanın longitudinal redüksiyon defekti;Longitudinal reduction defect of ulna
7750;Q71.6;İstakoz pençesi el;Lobster claw hand
7751;Q71.8;Üst ekstremite(ler)in diğer redüksiyon defektleri;Upper limb (s) of the other reduction defects
7752;Q71.9;Üst ekstremitenin redüksiyon defekti, tanımlanmamış;Of upper limb reduction defects, unspecified
7753;Q72;Alt ekstremitenin redüksiyon defektleri;reduction defects of lower limb
7754;Q72.0;Alt ekstremite(ler)in konjenital komple yokluğu;Lower limb (s) Congenital complete absence of
7755;Q72.1;Bacak ve baldırın konjenital yokluğu, ayak mevcut;Congenital absence of the legs and thighs, feet available
7756;Q72.2;Her iki ayağın ve bacağın konjenital yokluğu;Congenital absence of both feet and legs
7757;Q72.3;Ayak ve ayak parmak(lar)ın konjenital yokluğu;Foot and toe (s), congenital absence of
7758;Q72.4;Femurun longitudinal redüksiyon defekti;Longitudinal reduction defect of the femur
7759;Q72.5;Tibianın longitudinal redüksiyon defekti;Longitudinal reduction defect of the tibia
7760;Q72.6;Fibulanın longitudinal redüksiyon defekti;Longitudinal reduction defect of fibula
7761;Q72.7;Yarık ayak;slit foot
7762;Q72.8;Alt ekstremite(ler)in diğer redüksiyon defektleri;Lower limb (s) of the other reduction defects
7763;Q72.9;Alt ekstremitenin redüksiyon defekti, tanımlanmamış;Of lower limb reduction defects, unspecified
7764;Q73;Ekstremitenin redüksiyon defektleri tanımlanmamış;Limb reduction defects identified
7765;Q73.0;Ekstremite(ler)in tanımlanmamış konjenital yokluğu;Limb (s) specified congenital absence
7766;Q73.1;Fokomeli, tanımlanmamış ekstremite(ler)in;should Foko unspecified limb (s)
7767;Q73.8;Ekstremite(ler)in tanımlanmamış diğer redüksiyon defektleri;Limb (s) identified other reduction defects
7768;Q74;Ekstremite(ler)in diğer konjenital malformasyonları;Limb (s) Other congenital malformations
7769;Q74.0;Üst ekstremite(ler)in diğer konjenital malformasyonları, omuz kemeri dahil;Upper limb (s) other congenital malformations, including shoulder belt
7770;Q74.1;Dizin konjenital malformasyonu;Congenital malformation Index
7771;Q74.2;Alt ekstremite(ler)in diğer konjenital malformasyonları, pelvik kemer dahil;Lower limb (s) other congenital malformations, including pelvic girdle
7772;Q74.3;Arthrogryposis multipleks konjenita;Arthrogryposis multiplex congenita
7773;Q74.8;Ekstremite(ler)in diğer tanımlanmış konjenital malformasyonları;Limb (s) of other specified congenital malformations
7774;Q74.9;Ekstremite(ler)in tanımlanmamış konjenital malformasyonu;Limb (s) specified congenital malformation
7775;Q75;Kafatası ve yüz kemiklerinin diğer konjenital malformasyonları;Other congenital malformations of skull and face bones
7776;Q75.0;Kraniosinostoz;craniosynostosis
7777;Q75.1;Kraniofasial dizostoz;craniofacial dizostoz
7778;Q75.2;Hipertelorizm;hiperthelorism
7779;Q75.3;Makrosefali;Macrocephaly
7780;Q75.4;Mandibulofasial dizostoz;Mandibulofasial dizostoz
7781;Q75.5;Okulomandibüler dizostoz;Okulomandibü are dizostoz
7782;Q75.8;Kafatası ve yüz kemiklerinin diğer tanımlanmış konjenital malformasyonları;Other specified congenital malformations of skull and facial bones
7783;Q75.9;Kafatası ve yüz kemiklerinin konjenital malformasyonu, tanımlanmamış;Congenital malformation of skull and face bones, unspecified
7784;Q76;Vertebra ve kemik toraksın konjenital malformasyonları;Congenital malformations of spine and thorax bones
7785;Q76.0;Spina bifida occulta;Spina bifida occulta
7786;Q76.1;Klippel-Feil sendromu;Klippel-Feil syndrome
7787;Q76.2;Konjenital spondilolistezis;Congenital spondylolisthesis
7788;Q76.3;Konjenital kemik malformasyonuna bağlı konjenital skolyoz;congenital bone malformations due to congenital scoliosis
7789;Q76.4;Vertebranın diğer konjenital malformasyonları, skolyoz ile birlikte olmayan;Other congenital malformations of the vertebrae, not associated with scoliosis
7790;Q76.5;Servikal kosta;Cervical rib
7791;Q76.6;Kaburgaların diğer konjenital malformasyonları;Other congenital malformations of ribs
7792;Q76.7;Sternumun konjenital malformasyonu;Congenital malformation of sternum
7793;Q76.8;Kemik toraksın diğer konjenital malformasyonları;Other congenital malformations of the thorax Bone
7794;Q76.9;Kemik toraksın konjenital malformasyonu, tanımlanmamış;Congenital malformation of the bones of the thorax, unspecified
7795;Q77;Tübüler kemikler ve vertebranın büyüme defektleri ile birlikte ;With defects of growth of tubular bone and vertebra 
7796;Q77.0;Akondrogenez;Achondrogenesis
7797;Q77.1;Tanatoforik boy kısalığı;Tanatophoric short stature
7798;Q77.2;Kısa kosta sendromu;Short rib syndrome
7799;Q77.3;Kondrodisplazi punktata;Chondrodysplasia punctata
7800;Q77.4;Akondroplazi;Achondroplasia
7801;Q77.5;Diastrofik displazi;Diastrofik dysplasia
7802;Q77.6;Kondroektodermal displazi;Kondroektodermal dysplasia
7803;Q77.7;Spondiloepifizeal displazi;Spondiloepifizeal dysplasia
7804;Q77.8;Tubüler kemikler ve vertebranın büyüme defektleri ile birlikte olan diğer ;Combined with other tubular bones and vertebrae growth defects 
7805;Q77.9;Osteokondrodisplazi, tubuler kemiklerin ve vertebranın büyüme ;Osteochondrodysplasias of tubular bones and vertebrae grow 
7806;Q78;Osteokondrodisplaziler, diğer;Osteochondrodysplasias, other
7807;Q78.0;Osteogenezis imperfekta;Osteogenesis imperfecta
7808;Q78.1;Poliostotik fibröz displazi;Polyostotic fibrous dysplasia
7809;Q78.2;Osteopetrozis;osteopetrosis
7810;Q78.3;Progresif diafizeal displazi;Progressive diaphyseal dysplasia
7811;Q78.4;Enkondromatozis;enchondromatosis
7812;Q78.5;Metafizeal displazi;Metaphyseal dysplasia
7813;Q78.6;Multipl konjenital eksostoz;Multiple congenital exostoses
7814;Q78.8;Osteokondrodisplaziler diğer, tanımlanmış;Osteochondrodysplasias other specified
7815;Q78.9;Osteokondrodisplazi, tanımlanmamış;Osteochondrodysplasias, unspecified
7816;Q79;Kas iskelet sisteminin konjenital malformasyonları, başka ;congenital malformations of the musculoskeletal system, other 
7817;Q79.0;Konjenital diafragmatik herni;Congenital diaphragmatic hernia
7818;Q79.1;Diafragmanın diğer konjenital malformasyonları;Other congenital malformations of the diaphragm
7819;Q79.2;Eksomfalos;exomphalos
7820;Q79.3;Gastroşizis;gastroschisis
7821;Q79.4;Prune belly sendromu;Prune belly syndrome
7822;Q79.5;Karın duvarının diğer konjenital malformasyonları;Other congenital malformations of abdominal wall
7823;Q79.6;Ehlers-Danlos sendromu;Ehlers-Danlos syndrome
7824;Q79.8;Kas iskelet sisteminin diğer konjenital malformasyonları;Other congenital malformations of musculoskeletal system
7825;Q79.9;Kas iskelet sisteminin konjenital malformasyonu, tanımlanmamış;Congenital malformation of musculoskeletal system, unspecified
7826;Q80;Konjenital iktiyozis;Congenital ichthyosis
7827;Q80.0;İktiyozis vulgaris;Ichthyosis vulgaris
7828;Q80.1;X-bağlı iktiyozis;X-linked ichthyosis
7829;Q80.2;Lamellar iktiyozis;Lamellar ichthyosis
7830;Q80.3;Konjenital büllöz iktioziform eritroderma;Iktioziform bullous congenital erythroderma
7831;Q80.4;Palyaço fetüs;clown fetus
7832;Q80.8;Konjenital diğer iktiyozis;Other congenital ichthyosis
7833;Q80.9;Konjenital iktiyozis, tanımlanmamış;Congenital ichthyosis, unspecified
7834;Q81;Epidermolizis bülloza;Epidermolysis bullosa
7835;Q81.0;Epidermolizis bülloza simpleks;Epidermolysis bullosa simplex
7836;Q81.1;Epidermolizis bülloza letalis;Epidermolysis bullosa letalis
7837;Q81.2;Epidermolizis bülloza distrofika;Dystrophic epidermolysis bullosa
7838;Q81.8;Epidermolizis diğer bülloza;Other epidermolysis bullosa
7839;Q81.9;Epidermolizis bülloza, tanımlanmamış;Epidermolysis bullosa, unspecified
7840;Q82;Derinin diğer konjenital malformasyonları;Other congenital malformations of skin
7841;Q82.0;Herediter lenfödem;Hereditary lymphedema
7842;Q82.1;Kseroderma pigmentosum;Xeroderma pigmentosum
7843;Q82.2;Mastositoz;mastocytosis
7844;Q82.3;İnkontinentia pigmenti;Incontinentia pigmenti
7845;Q82.4;Epidermal displazi (anhidrotik);Epidermal dysplasia (anhydrotic)
7846;Q82.5;Konjenital neoplastik olmayan nevüs;non-neoplastic congenital nevus
7847;Q82.8;Derinin diğer tanımlanmış konjenital malformasyonları;Other specified congenital malformations of skin
7848;Q82.9;Derinin konjenital malformasyonu, tanımlanmamış;Congenital malformation of skin, unspecified
7849;Q83;Memenin konjenital malformasyonları;Congenital malformations of breast
7850;Q83.0;Memenin konjenital yokluğu, meme ucu yokluğu ile;Congenital absence of breast nipple with the absence
7851;Q83.1;Aksesuar meme;accessory breast
7852;Q83.2;Meme ucu yokluğu;Teat absence
